RptNo,RptName,StatCourseNo,StatCourseName,DataDate,PlaceNo,PlaceName,PeriodNo,PeriodName,Complex1,ComplexName,Complex2,Complex2Name,Complex3,Complex3Name,Complex4,Complex4Name,Complex5,Complex5Name,DeriveNo,DeriveExplain,FValue,SValue,RptDeptNo,RptDeptName,CreateTime,ModifyTime
10430-01-02-2,臺中市高級中等學校校數及教職員數─按行政區別分,1043001a102,高級中等學校校數及教職員數─按行政區別分-教師數(單位:人),2015/8/1 上午 12:00:00,010000066000040,臺中市西區,S,學年,230010000102,市立,9900100001,男,0,,0,,0,,0,,38,,387040000E,教育局,2016/12/16 上午 09:33:33,
10430-01-02-2,臺中市高級中等學校校數及教職員數─按行政區別分,1043001a102,高級中等學校校數及教職員數─按行政區別分-教師數(單位:人),2015/8/1 上午 12:00:00,010000066000040,臺中市西區,S,學年,230010000102,市立,9900100002,女,0,,0,,0,,0,,87,,387040000E,教育局,2016/12/16 上午 09:33:33,
10430-01-02-2,臺中市高級中等學校校數及教職員數─按行政區別分,1043001a102,高級中等學校校數及教職員數─按行政區別分-教師數(單位:人),2015/8/1 上午 12:00:00,010000066000050,臺中市北區,S,學年,230010000101,國立,9900100001,男,0,,0,,0,,0,,170,,387040000E,教育局,2016/12/16 上午 09:33:33,
10430-01-02-2,臺中市高級中等學校校數及教職員數─按行政區別分,1043001a102,高級中等學校校數及教職員數─按行政區別分-教師數(單位:人),2015/8/1 上午 12:00:00,010000066000050,臺中市北區,S,學年,230010000101,國立,9900100002,女,0,,0,,0,,0,,164,,387040000E,教育局,2016/12/16 上午 09:33:33,
10430-01-02-2,臺中市高級中等學校校數及教職員數─按行政區別分,1043001a102,高級中等學校校數及教職員數─按行政區別分-教師數(單位:人),2015/8/1 上午 12:00:00,010000066000050,臺中市北區,S,學年,230010000102,市立,9900100001,男,0,,0,,0,,0,,0,,387040000E,教育局,2016/12/16 上午 09:33:33,
10430-01-02-2,臺中市高級中等學校校數及教職員數─按行政區別分,1043001a101,高級中等學校校數及教職員數─按行政區別分-校數(單位:所),2015/8/1 上午 12:00:00,010000066000290,臺中市和平區,S,學年,230010000101,國立,0,,0,,0,,0,,0,,0,,387040000E,教育局,2016/12/16 上午 09:33:34,
10430-01-02-2,臺中市高級中等學校校數及教職員數─按行政區別分,1043001a101,高級中等學校校數及教職員數─按行政區別分-校數(單位:所),2015/8/1 上午 12:00:00,010000066000290,臺中市和平區,S,學年,230010000102,市立,0,,0,,0,,0,,0,,0,,387040000E,教育局,2016/12/16 上午 09:33:34,
10430-01-02-2,臺中市高級中等學校校數及教職員數─按行政區別分,1043001a101,高級中等學校校數及教職員數─按行政區別分-校數(單位:所),2015/8/1 上午 12:00:00,010000066000290,臺中市和平區,S,學年,2300100002,私立,0,,0,,0,,0,,0,,0,,387040000E,教育局,2016/12/16 上午 09:33:34,
10430-01-02-2,臺中市高級中等學校校數及教職員數─按行政區別分,1043001a101,高級中等學校校數及教職員數─按行政區別分-校數(單位:所),2015/8/1 上午 12:00:00,010000066000190,臺中市新社區,S,學年,230010000101,國立,0,,0,,0,,0,,0,,0,,387040000E,教育局,2016/12/16 上午 09:33:34,
10430-01-02-2,臺中市高級中等學校校數及教職員數─按行政區別分,1043001a101,高級中等學校校數及教職員數─按行政區別分-校數(單位:所),2015/8/1 上午 12:00:00,010000066000190,臺中市新社區,S,學年,230010000102,市立,0,,0,,0,,0,,0,,1,,387040000E,教育局,2016/12/16 上午 09:33:34,
10430-01-02-2,臺中市高級中等學校校數及教職員數─按行政區別分,1043001a101,高級中等學校校數及教職員數─按行政區別分-校數(單位:所),2015/8/1 上午 12:00:00,010000066000190,臺中市新社區,S,學年,2300100002,私立,0,,0,,0,,0,,0,,0,,387040000E,教育局,2016/12/16 上午 09:33:34,
10430-01-02-2,臺中市高級中等學校校數及教職員數─按行政區別分,1043001a101,高級中等學校校數及教職員數─按行政區別分-校數(單位:所),2015/8/1 上午 12:00:00,010000066000170,臺中市潭子區,S,學年,230010000101,國立,0,,0,,0,,0,,0,,0,,387040000E,教育局,2016/12/16 上午 09:33:34,
10430-01-02-2,臺中市高級中等學校校數及教職員數─按行政區別分,1043001a101,高級中等學校校數及教職員數─按行政區別分-校數(單位:所),2015/8/1 上午 12:00:00,010000066000170,臺中市潭子區,S,學年,230010000102,市立,0,,0,,0,,0,,0,,0,,387040000E,教育局,2016/12/16 上午 09:33:34,
